_id,id,geo_point_2d,geo_shape,name,detalle
172,171,"19.40636329,-99.15504456","{""type"": ""Point"", ""coordinates"": [-99.15504456, 19.40636329]}",Centro Médico_1_2,Metro Línea 9 correspondencia con línea 3.
173,172,"19.455485,-99.11348104","{""type"": ""Point"", ""coordinates"": [-99.11348104, 19.455485]}",Consulado_1,Metro Línea 5 correspondencia con línea 4.
174,173,"19.42595305,-99.13268566","{""type"": ""Point"", ""coordinates"": [-99.13268566, 19.42595305]}",Pino Suárez_1_2,Metro Línea 1 correspondencia con línea 2.
175,174,"19.42698509,-99.14331794","{""type"": ""Point"", ""coordinates"": [-99.14331794, 19.42698509]}",Salto del Agua_1,Metro Línea 1 correspondencia con línea 8.
176,175,"19.39122414,-99.18572903","{""type"": ""Point"", ""coordinates"": [-99.18572903, 19.39122414]}",San Pedro de Los Pinos,Metro 7
177,176,"19.46911098,-99.18985963","{""type"": ""Point"", ""coordinates"": [-99.18985963, 19.46911098]}",Refinería,Metro 7
178,177,"19.38746949,-99.13862944","{""type"": ""Point"", ""coordinates"": [-99.13862944, 19.38746949]}",Villa de Cortés,Metro 2
179,178,"19.43628327,-99.10342813","{""type"": ""Point"", ""coordinates"": [-99.10342813, 19.43628327]}",R. Flores Magón,Metro B
180,179,"19.44522682,-99.1463542","{""type"": ""Point"", ""coordinates"": [-99.1463542, 19.44522682]}",Guerrero_1_4,Metro Línea B correspondencia con línea 3.
181,180,"19.37360387,-99.17859435","{""type"": ""Point"", ""coordinates"": [-99.17859435, 19.37360387]}",Insurgentes Sur_1,Metro 12
182,181,"19.3705472,-99.16540861","{""type"": ""Point"", ""coordinates"": [-99.16540861, 19.3705472]}",Zapata_1,Metro Línea 12 correspondencia con línea 3.
183,182,"19.35376487,-99.17542934","{""type"": ""Point"", ""coordinates"": [-99.17542934, 19.35376487]}",Viveros,Metro 3
184,183,"19.355601,-99.085872","{""type"": ""Point"", ""coordinates"": [-99.085872, 19.355601]}",Cerro de la Estrella,Metro 8
185,184,"19.46450842,-99.1117537","{""type"": ""Point"", ""coordinates"": [-99.1117537, 19.46450842]}",Bondojito_1,Metro 4
186,185,"19.39821706,-99.05969739","{""type"": ""Point"", ""coordinates"": [-99.05969739, 19.39821706]}",Canal de San Juan_1_3,Metro A
187,186,"19.41528826,-99.07505035","{""type"": ""Point"", ""coordinates"": [-99.07505035, 19.41528826]}",Pantitlán,Metro Línea 5 correspondencia con líneas 1 9 y A.
188,187,"19.4159055,-99.13429499","{""type"": ""Point"", ""coordinates"": [-99.13429499, 19.4159055]}",San Antonio Abad,Metro 2
189,188,"19.41301153,-99.14392948","{""type"": ""Point"", ""coordinates"": [-99.14392948, 19.41301153]}",Obrera,Metro 8
190,189,"19.52822456,-99.02979612","{""type"": ""Point"", ""coordinates"": [-99.02979612, 19.52822456]}",Plaza Aragón,Metro B
191,190,"19.458219,-99.20294","{""type"": ""Point"", ""coordinates"": [-99.20294, 19.458219]}",Panteones,Metro 2
192,191,"19.37291562,-99.0172863","{""type"": ""Point"", ""coordinates"": [-99.0172863, 19.37291562]}",Peñón Viejo,Metro A
193,192,"19.3789276,-99.15950775","{""type"": ""Point"", ""coordinates"": [-99.15950775, 19.3789276]}",División del Norte,Metro 3
194,193,"19.45668,-99.181555","{""type"": ""Point"", ""coordinates"": [-99.181555, 19.45668]}",Cuitláhuac_1_4,Metro 2
195,194,"19.40811392,-99.09135818","{""type"": ""Point"", ""coordinates"": [-99.09135818, 19.40811392]}",Ciudad Deportiva,Metro 9
196,195,"19.458454,-99.214643","{""type"": ""Point"", ""coordinates"": [-99.214643, 19.458454]}",Cuatro Caminos,Metro 2
197,196,"19.4837675,-99.10599232","{""type"": ""Point"", ""coordinates"": [-99.10599232, 19.4837675]}",Martín Carrera_1,Metro Línea 4 correspondencia con línea 6.
198,197,"19.46907052,-99.13904786","{""type"": ""Point"", ""coordinates"": [-99.13904786, 19.46907052]}",La Raza_1_2,Metro Línea 3 correspondencia con línea 5.
199,198,"19.4260947,-99.13782477","{""type"": ""Point"", ""coordinates"": [-99.13782477, 19.4260947]}",Isabel la Católica_1_5,Metro 1
200,199,"19.472534,-99.054375","{""type"": ""Point"", ""coordinates"": [-99.054375, 19.472534]}",Nezahualcóyotl,Metro B
201,200,"19.42546738,-99.12541151","{""type"": ""Point"", ""coordinates"": [-99.12541151, 19.42546738]}",Merced,Metro 1
202,201,"19.40192086,-99.18734908","{""type"": ""Point"", ""coordinates"": [-99.18734908, 19.40192086]}",Tacubaya_1_3,Metro Línea 9 correspondencia con línea 1 y línea 7.
203,202,"19.4104163175,-99.1536353159","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.1739595, 19.3244574], [-99.1766363, 19.3359178], [-99.1810191, 19.3468358], [-99.1760355, 19.3537143], [-99.1704994, 19.3614528], [-99.1649204, 19.3707294], [-99.1591108, 19.3798486], [-99.1574532, 19.3855061], [-99.1562569, 19.3956264], [-99.1538858, 19.4135984], [-99.1505706, 19.4195583], [-99.149074, 19.42741], [-99.1478777, 19.4332682], [-99.1471374, 19.4373152], [-99.1453725, 19.4451408], [-99.1427922, 19.4551006], [-99.1369236, 19.4702742], [-99.1321707, 19.4769704], [-99.1265702, 19.4837877], [-99.1209751134766, 19.4906856228133], [-99.1194999, 19.4953987]]]}",Línea 3,Línea 3
204,203,"19.3358051289,-99.1025165037","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.1876860557258, 19.3761083800553], [-99.1788508205841, 19.373628712725], [-99.1712977237001, 19.3720396532352], [-99.1648013673941, 19.3706732649607], [-99.1567512289475, 19.3705634323458], [-99.1540513377261, 19.3617505941329], [-99.1517282514489, 19.3614396487916], [-99.1431697611068, 19.3602749158266], [-99.1214515788769, 19.3573730292532], [-99.1055751254594, 19.3558421753309], [-99.1074541104213, 19.3381605270274], [-99.1050339189064, 19.3276021253425], [-99.0976121386369, 19.3223865035373], [-99.0857460513996, 19.3204223317489], [-99.0754678313789, 19.3184378879144], [-99.0696957260373, 19.3094671177938], [-99.0603831029597, 19.304687902063], [-99.0504267492784, 19.3008198736477], [-99.0416076502083, 19.2991997268285], [-99.0239050776309, 19.2979643469448], [-99.0172961221691, 19.2906329484479]]]}",Línea 12,Línea 12
205,204,"19.467874767,-99.0767338112","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.1453725, 19.4451408], [-99.1392624, 19.4427583], [-99.1313499, 19.4433754], [-99.1233194, 19.4425205], [-99.1182554, 19.4389745], [-99.1148007, 19.4302734], [-99.1036642, 19.436607], [-99.0943193, 19.4408057], [-99.0871739, 19.4457529], [-99.079417, 19.450963], [-99.0692568, 19.4581051], [-99.0613174, 19.4616861], [-99.0545368, 19.4730559], [-99.0488827, 19.4858612], [-99.0466619, 19.4909688], [-99.041968, 19.5017045], [-99.0359974, 19.5153316], [-99.0333796, 19.5213181], [-99.0301716, 19.5284976], [-99.027347266674, 19.5344532308002]]]}",Línea B,Línea B
206,205,"19.4333358254,-99.1903766057","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.189586, 19.3607037], [-99.1878051, 19.3761645], [-99.1863245, 19.3847724], [-99.1860509, 19.3912798], [-99.187097, 19.4031605], [-99.1912866, 19.4119136], [-99.1919732, 19.4255433], [-99.1910237, 19.4335161], [-99.1914367675781, 19.4468455104825], [-99.1870825, 19.4586984], [-99.1905999, 19.4700922], [-99.1905784606934, 19.4806724417591], [-99.1948807000001, 19.4905036], [-99.2000628, 19.5046121]]]}",Línea 7,Línea 7
207,206,"19.4893612602,-99.1563296398","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.2000628, 19.5046121], [-99.195728302002, 19.4947514274251], [-99.1864371, 19.4910143], [-99.17382, 19.4908171], [-99.1627693, 19.488683], [-99.1555542, 19.4903266], [-99.1449058, 19.4896945], [-99.1346973, 19.4877576], [-99.1265702, 19.4837877], [-99.1179228, 19.4815524], [-99.1070652, 19.482574]]]}",Línea 6,Línea 6
